Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
NYMX,Nymox Pharmaceutical Corporation,6.81,-447.2%,N/A,N/A,N/A,-0.93,-0.076,-0.17,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-1860.0%,1376.0%,-648.4%,-656.2%
OIIM,O2Micro International Limited,2.90,26.7%,0.37,-0.9,-117.1%,7.93,0.463,3.30,Technology,Semiconductors,27.4%,30.6%,15.5%,33.3%
OMPI,"Obagi Medical Products, Inc.",13.29,252.9%,1.15,11.6,8.6%,11.58,1.053,1.05,Consumer Durables,Major Pharmaceuticals,293.9%,197.0%,252.6%,268.1%
OBCI,"Ocean Bio-Chem, Inc.",2.37,10.1%,2.43,18.7,5.4%,0.97,0.161,-0.63,Consumer Durables,Specialty Chemicals,4.7%,17.6%,19.7%,-1.5%
OPTT,"Ocean Power Technologies, Inc.",2.21,-952.3%,N/A,N/A,N/A,-17.76,-2.031,2.54,Public Utilities,Electric Utilities: Central,-705.9%,-1093.0%,-930.7%,-1079.7%
ORIG,Ocean Rig UDW Inc.,14.72,N/A,N/A,N/A,N/A,N/A,N/A,-20.57,Energy,Oil & Gas Production,-1.0%,-0.7%,5.7%,N/A
OCLR,"Oclaro, Inc.",1.52,-14.6%,N/A,N/A,N/A,-3.72,-0.264,-1.08,Technology,Semiconductors,-20.8%,-12.4%,-13.9%,-11.5%
OCLS,"Oculus Innovative Sciences, Inc.",0.64,-213.4%,N/A,N/A,N/A,-2.06,-0.191,-0.14,Health Care,Medical/Dental Instruments,-142.4%,-149.1%,-184.7%,-377.6%
OCZ,OCZ Technology Group Inc,1.65,-483.3%,N/A,N/A,N/A,-6.03,-0.574,-0.29,Technology,Electronic Components,-1377.8%,-516.6%,4.5%,-43.4%
OMEX,"Odyssey Marine Exploration, Inc.",2.61,-91.2%,N/A,N/A,N/A,-2.81,-0.247,-0.34,Consumer Services,Marine Transportation,-81.3%,-72.4%,-76.5%,-134.6%
OPAY,"Official Payments Holdings, Inc.",5.54,-14.6%,N/A,N/A,N/A,-1.61,-0.254,0.92,Technology,EDP Services,-19.2%,-1.5%,-33.0%,-4.9%
ODFL,"Old Dominion Freight Line, Inc.",32.97,7.7%,3.75,25.6,3.9%,8.80,1.554,-6.74,Transportation,Trucking Freight/Courier Services,13.2%,3.1%,2.2%,12.1%
ZEUS,"Olympic Steel, Inc.",19.76,-1.6%,N/A,N/A,N/A,-42.76,-0.489,-37.88,Basic Industries,Metal Fabrications,1.8%,-27.5%,3.8%,15.4%
OFLX,"Omega Flex, Inc.",11.49,52.0%,1.68,16.3,6.1%,6.85,0.736,-0.51,Capital Goods,Industrial Specialties,16.4%,42.2%,71.3%,78.2%
OMER,Omeros Corporation,6.51,-808.0%,N/A,N/A,N/A,-10.35,-1.004,-0.31,Consumer Durables,Major Pharmaceuticals,-702.8%,-542.6%,-889.7%,-1096.9%
OMCL,"Omnicell, Inc.",15.85,77.5%,0.98,9.8,10.2%,16.13,1.250,3.64,Technology,Computer Manufacturing,72.7%,53.8%,108.7%,74.6%
OVTI,"OmniVision Technologies, Inc.",13.87,31.6%,1.07,10.7,9.3%,12.92,1.312,-0.21,Technology,Semiconductors,-1.5%,73.7%,24.5%,29.4%
ONNN,ON Semiconductor Corporation,6.92,13.8%,1.53,13.0,7.7%,4.53,0.785,-3.32,Technology,Semiconductors,16.3%,19.8%,5.2%,13.7%
OTIV,On Track Innovations Ltd,1.32,-31.2%,N/A,N/A,N/A,-2.58,-0.255,-0.03,Technology,Semiconductors,-50.5%,-36.8%,3.1%,-40.6%
OGXI,OncoGenex Pharmaceuticals Inc.,12.65,-67.4%,7.87,N/A,N/A,1.61,-0.031,1.92,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-3596.4%,-6014.0%,9462.2%,-121.6%
ONCY,"Oncolytics Biotech, Inc.",3.10,-2776.6%,N/A,N/A,N/A,-3.24,-0.361,0.37,Consumer Durables,Major Pharmaceuticals,-3050.8%,-2721.8%,-2481.8%,-2851.8%
ONTY,Oncothyreon Inc.,4.58,-504.5%,N/A,N/A,N/A,-2.46,-0.291,0.45,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-675.0%,-626.8%,-627.6%,-88.5%
ORCC,Online Resources Corporation,2.25,33.0%,0.52,7.6,13.2%,4.32,0.861,-4.30,Miscellaneous,Business Services,18.9%,36.9%,40.0%,36.2%
ONVI,"Onvia, Inc.",3.70,17.5%,2.87,30.3,3.3%,1.29,0.119,0.10,Miscellaneous,Business Services,20.0%,11.8%,80.4%,-42.1%
ONXX,"ONYX Pharmaceuticals, Inc.",78.80,190.5%,9.46,98.7,1.0%,8.33,0.795,0.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),248.4%,194.6%,460.2%,-141.2%
OTEX,Open Text Corporation,55.73,136.4%,2.49,19.6,5.1%,22.40,3.469,-12.29,Technology,EDP Services,217.5%,110.1%,91.9%,126.2%
OPEN,"OpenTable, Inc.",47.76,121.0%,2.67,26.5,3.8%,17.91,1.807,-0.16,Miscellaneous,Business Services,178.6%,151.1%,93.2%,61.1%
OPXA,"Opexa Therapeutics, Inc.",0.43,-263.4%,N/A,N/A,N/A,-2.25,-0.251,0.26,Consumer Durables,Major Pharmaceuticals,-269.2%,-231.2%,-10.4%,-542.7%
OPLK,"Oplink Communications, Inc.",14.92,20.3%,0.82,7.1,14.1%,18.20,1.122,6.99,Public Utilities,Telecommunications Equipment,27.6%,8.8%,12.4%,32.2%
OPNT,OPNET Technologies Inc.,41.42,91.8%,2.76,29.5,3.4%,14.99,1.358,1.41,Technology,Computer Software: Prepackaged Software,112.5%,109.6%,83.6%,61.4%
OBAS,Optibase Ltd.,5.40,N/A,N/A,N/A,N/A,N/A,N/A,-35.22,Finance,Real Estate,N/A,N/A,N/A,N/A
OCC,Optical Cable Corporation,4.21,-0.7%,N/A,N/A,N/A,-2.83,-0.034,-2.49,Basic Industries,Telecommunications Equipment,-1.1%,-6.0%,-3.1%,7.3%
OPTR,"Optimer Pharmaceuticals, Inc.",9.12,-726.2%,N/A,N/A,N/A,-7.76,-0.942,1.66,Consumer Durables,Major Pharmaceuticals,-447.6%,-989.6%,-777.0%,-690.5%
ORCL,Oracle Corporation,31.96,290.4%,1.00,10.0,10.0%,31.91,3.265,-0.74,Technology,Computer Software: Prepackaged Software,318.2%,292.9%,272.0%,278.4%
OSUR,"OraSure Technologies, Inc.",7.13,4.1%,28.78,228.2,0.4%,0.25,0.032,-0.07,Health Care,Medical/Dental Instruments,-19.7%,0.3%,-12.5%,48.3%
ORBC,ORBCOMM Inc.,3.80,-4.9%,N/A,N/A,N/A,-0.03,-0.117,1.14,Consumer Services,Telecommunications Equipment,-2.8%,-6.7%,-7.0%,-3.2%
ORBT,Orbit International Corporation,3.26,13.8%,6.63,32.6,3.1%,0.49,0.122,-0.73,Capital Goods,Industrial Machinery/Components,41.3%,1.8%,64.8%,-52.6%
ORBK,Orbotech Ltd.,8.45,22.5%,1.17,12.0,8.3%,7.20,0.630,0.90,Capital Goods,Industrial Machinery/Components,41.1%,39.4%,37.3%,-27.9%
OSH,Orchard Supply Hardware Stores Corporation,7.14,N/A,N/A,N/A,N/A,N/A,N/A,-88.31,Consumer Services,RETAIL: Building Materials,5.5%,N/A,N/A,N/A
ORLY,"O&#39;Reilly Automotive, Inc.",89.48,26.7%,1.78,15.6,6.4%,50.38,7.040,-20.01,Consumer Services,Other Specialty Stores,42.7%,31.4%,14.5%,18.0%
OREX,"Orexigen Therapeutics, Inc.",5.09,-2596.3%,N/A,N/A,N/A,-5.59,-0.679,1.19,Consumer Durables,Major Pharmaceuticals,-1293.1%,247.8%,-2612.7%,-6727.3%
SEED,Origin Agritech Limited,1.39,73.0%,0.13,3.1,32.1%,10.41,1.311,-2.70,Consumer Non-Durables,Farming/Seeds/Milling,14.9%,144.9%,110.0%,22.2%
OFIX,Orthofix International N.V.,36.83,29.7%,6.32,24.5,4.1%,5.83,2.136,-15.53,Health Care,Medical/Dental Instruments,62.3%,54.2%,62.8%,-60.4%
OSIS,"OSI Systems, Inc.",60.34,52.6%,1.54,14.2,7.0%,39.11,5.033,-11.22,Technology,Semiconductors,92.9%,32.6%,48.7%,36.0%
OSIR,"Osiris Therapeutics, Inc.",9.92,-967.0%,N/A,N/A,N/A,-15.60,-1.539,-0.21,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-405.9%,-668.6%,-2820.6%,27.3%
OSN,"Ossen Innovation Co., Ltd.",0.92,N/A,N/A,N/A,N/A,N/A,N/A,-2.93,Basic Industries,Steel/Iron Ore,-78.6%,-132.7%,-21.4%,N/A
OTT,"Otelco, Inc.",1.74,0.0%,N/A,418193.2,0.0%,-24.59,0.000,-24.59,Public Utilities,Telecommunications Equipment,-2.4%,0.7%,0.8%,1.0%
OTTR,Otter Tail Corporation,24.73,-2.1%,N/A,N/A,N/A,-40.75,-0.994,-30.81,Public Utilities,Electric Utilities: Central,-3.9%,-3.6%,-0.0%,-0.7%
OUTD,"Outdoor Channel Holdings, Inc.",7.42,53.8%,1.06,10.8,9.3%,7.00,0.531,1.68,Consumer Services,Television Services,47.5%,36.8%,47.6%,83.1%
OVRL,"Overland Storage, Inc.",1.07,-610.9%,N/A,N/A,N/A,-7.17,-0.631,-0.86,Technology,Electronic Components,-514.9%,-568.1%,-732.5%,-628.0%
OSTK,"Overstock.com, Inc.",14.03,8.3%,4.99,29.7,3.4%,2.81,0.568,-2.87,Consumer Services,Catalog/Specialty Distribution,7.2%,2.9%,27.0%,-4.0%
OXGN,"OXiGENE, Inc.",0.40,-1469.7%,N/A,N/A,N/A,-4.22,-0.459,0.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-789.4%,-1358.3%,-1979.0%,-1752.2%
OXBT,"Oxygen Biotherapeutics, Inc.",0.62,-745.1%,N/A,N/A,N/A,-2.95,-0.287,-0.08,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-662.9%,-794.7%,-990.4%,-532.3%
PFIN,"P & F Industries, Inc.",6.02,14.0%,1.21,11.1,9.0%,4.96,0.986,-4.90,Technology,Industrial Machinery/Components,11.5%,21.7%,25.2%,-2.4%
PTSI,"P.A.M. Transportation Services, Inc.",9.96,-2.1%,N/A,N/A,N/A,-22.46,-0.854,-13.93,Transportation,Trucking Freight/Courier Services,0.3%,-5.7%,-2.7%,-0.4%
PCAR,PACCAR Inc.,43.91,18.1%,3.36,18.1,5.5%,13.06,3.796,-24.90,Capital Goods,Auto Manufacturing,21.4%,16.9%,13.3%,20.8%
PACR,"Pacer International, Inc.",3.70,15.7%,2.48,15.0,6.7%,1.49,0.446,-2.96,Transportation,Oil Refining/Marketing,35.4%,5.5%,-36.6%,58.4%
PACB,"Pacific Biosciences of California, Inc.",1.65,N/A,N/A,N/A,N/A,N/A,N/A,2.68,Capital Goods,Biotechnology: Laboratory Analytical Instruments,-424.6%,-751.1%,-628.9%,N/A
PEIX,"Pacific Ethanol, Inc.",0.35,-16.5%,N/A,N/A,N/A,-2.77,-0.205,-0.72,Basic Industries,Major Chemicals,-12.2%,-21.5%,-11.1%,-21.3%
PSUN,"Pacific Sunwear of California, Inc.",1.52,-10.1%,N/A,N/A,N/A,-11.07,-0.837,-2.69,Consumer Services,Clothing/Shoe/Accessory Stores,-17.5%,-16.3%,1.5%,-7.9%
PCRX,"Pacira Pharmaceuticals, Inc.",15.43,N/A,N/A,N/A,N/A,N/A,N/A,0.38,Consumer Durables,Major Pharmaceuticals,-113.3%,-113.0%,N/A,N/A
PACT,Pactera Technology International Ltd,6.60,N/A,N/A,N/A,N/A,N/A,N/A,1.90,Technology,EDP Services,145.4%,101.1%,104.8%,N/A
PTIE,Pain Therapeutics,2.42,-253.1%,11.01,N/A,N/A,0.22,-0.075,0.97,Consumer Durables,Major Pharmaceuticals,-29.5%,-20.8%,-1228.1%,265.9%
PMTI,"Palomar Medical Technologies, Inc.",8.87,43.4%,0.68,5.7,17.6%,13.13,0.984,3.29,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,9.9%,-20.4%,67.5%,116.8%
PAAS,Pan American Silver Corp.,18.81,14.1%,1.20,12.1,8.3%,15.73,1.478,0.95,Basic Industries,Precious Metals,22.5%,9.6%,9.0%,15.3%
PNRA,Panera Bread Company,158.18,27.8%,1.87,18.2,5.5%,84.70,8.991,-5.20,Consumer Services,Restaurants,29.0%,31.8%,29.2%,21.0%
PZZA,"Papa John&#39;S International, Inc.",52.83,18.6%,1.79,16.4,6.1%,29.53,3.623,-6.70,Consumer Services,Restaurants,20.0%,18.1%,23.5%,12.8%
PAMT,Parametric Sound Corp.,5.78,-435.5%,N/A,N/A,N/A,-1.76,-0.258,0.81,Consumer Durables,Telecommunications Equipment,-1029.6%,-921.0%,132.0%,76.7%
PMTC,Parametric Technology Corporation,22.09,59.1%,2.17,18.2,5.5%,10.20,1.442,-4.22,Technology,Computer Software: Prepackaged Software,125.3%,29.6%,69.1%,12.4%
PRXL,PAREXEL International Corporation,31.55,28.9%,2.86,18.9,5.3%,11.05,2.315,-12.11,Health Care,Biotechnology: Commercial Physical & Biological Resarch,42.9%,-7.9%,42.9%,37.6%
PRKR,"ParkerVision, Inc.",2.25,-146.3%,N/A,N/A,N/A,-1.60,-0.164,0.05,Technology,Radio And Television Broadcasting And Communications Equipment,-125.2%,-124.4%,-155.7%,-179.9%
PKOH,Park-Ohio Holdings Corp.,19.94,6.0%,N/A,45.8,2.2%,-25.39,1.265,-38.03,Capital Goods,Industrial Specialties,2.1%,18.2%,2.7%,1.1%
PTNR,Partner Communications Company Ltd.,6.25,44.2%,0.01,4.1,24.3%,784.84,132.186,-537.02,Public Utilities,Telecommunications Equipment,44.4%,75.1%,25.4%,31.8%
PATK,"Patrick Industries, Inc.",14.57,-4.5%,N/A,N/A,N/A,-8.53,-0.325,-5.28,Basic Industries,Forest Products,5.4%,0.1%,-6.1%,-17.3%
PATR,"Patriot Transportation Holding, Inc.",25.02,-1.8%,N/A,N/A,N/A,N/A,N/A,-9.98,Transportation,Trucking Freight/Courier Services,-1.9%,-4.0%,0.0%,-1.3%
PDCO,"Patterson Companies, Inc.",33.29,106.7%,1.07,10.6,9.5%,31.16,3.843,-7.28,Health Care,Medical Specialities,110.8%,111.6%,120.3%,84.1%
PTEN,"Patterson-UTI Energy, Inc.",17.43,11.9%,0.62,7.3,13.7%,27.96,3.921,-11.26,Energy,Oil & Gas Production,15.4%,7.7%,4.3%,20.1%
PLCC,Paulson Capital Corp.,0.75,N/A,N/A,N/A,N/A,N/A,N/A,-0.25,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
PAYX,"Paychex, Inc.",33.71,127.9%,1.12,11.2,8.9%,30.16,3.020,-0.04,Consumer Services,Diversified Commercial Services,116.7%,129.7%,118.8%,146.4%
PCCC,"PC Connection, Inc.",10.79,17.8%,N/A,29.6,3.4%,-1.09,0.607,-7.16,Consumer Services,Catalog/Specialty Distribution,7.4%,8.9%,-2.5%,57.4%
MALL,"PC Mall, Inc.",5.79,13.0%,N/A,31.0,3.2%,-13.53,0.922,-22.75,Consumer Services,Catalog/Specialty Distribution,-39.8%,48.5%,-21.9%,65.1%
PCTI,"PC-Tel, Inc.",6.66,76.6%,0.50,3.8,26.0%,13.33,1.084,2.49,Technology,Radio And Television Broadcasting And Communications Equipment,23.0%,-2.8%,26.6%,259.7%
PDCE,"PDC Energy, Inc.",32.23,1.7%,N/A,59.0,1.7%,-22.38,1.114,-33.52,Energy,Oil & Gas Production,0.2%,0.5%,-2.8%,9.0%
PDFS,"PDF Solutions, Inc.",14.11,28.2%,5.15,74.5,1.3%,2.74,0.176,0.98,Technology,EDP Services,50.5%,12.4%,-31.0%,81.0%
PDII,"PDI, Inc.",6.83,-31.3%,N/A,N/A,N/A,-5.23,-0.604,0.81,Miscellaneous,Business Services,-6.4%,52.6%,-101.2%,-70.4%
PDLI,"PDL BioPharma, Inc.",7.48,2169.1%,0.61,6.6,15.1%,12.29,1.417,-1.88,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3029.9%,2646.7%,2988.9%,10.8%
PRLS,Peerless Systems Corporation,3.72,2955.8%,0.86,-24.0,-4.2%,4.34,0.018,4.16,Technology,Computer Software: Prepackaged Software,300.4%,10729.1%,829.6%,-35.8%
PEGA,Pegasystems Inc.,22.33,238.2%,1.32,12.9,7.8%,16.98,1.860,-1.62,Technology,EDP Services,166.5%,94.4%,416.9%,275.2%
PCO,Pendrell Corporation,1.16,-2306.8%,N/A,N/A,N/A,-0.69,-0.111,0.41,Miscellaneous,Multi-Sector Companies,-7405.9%,-1785.3%,-14.6%,-21.6%
PENX,Penford Corporation,7.51,-9.7%,N/A,N/A,N/A,-42.10,-2.869,-13.42,Consumer Non-Durables,Packaged Foods,-7.8%,-9.0%,-8.4%,-13.5%
PENN,"Penn National Gaming, Inc.",47.76,10.6%,3.08,16.9,5.9%,15.50,4.675,-31.25,Consumer Services,Hotels/Resorts,14.7%,11.6%,1.5%,14.7%
PRCP,"Perceptron, Inc.",5.80,3.0%,3.14,65.4,1.5%,1.85,0.071,1.14,Capital Goods,Electronic Components,15.4%,28.8%,-28.3%,-4.0%
PPHM,Peregrine Pharmaceuticals Inc.,1.31,-353.0%,N/A,N/A,N/A,-2.31,-0.230,-0.01,Consumer Durables,Major Pharmaceuticals,-512.7%,-463.5%,-250.8%,-185.1%
PSMI,Peregrine Semiconductor Corp.,15.75,N/A,N/A,N/A,N/A,N/A,N/A,1.17,Technology,Semiconductors,-9.6%,N/A,N/A,N/A
PWRD,"Perfect World Co., Ltd.",10.68,316.3%,0.06,0.4,274.0%,180.02,17.576,4.27,Miscellaneous,Business Services,88.4%,105.1%,137.8%,934.1%
PRFT,"Perficient, Inc.",11.28,285.3%,1.32,13.0,7.7%,8.57,0.903,-0.46,Technology,EDP Services,246.3%,284.4%,236.1%,374.5%
PTIX,"Performance Technologies, Incorporated",0.98,1.3%,1.49,36.8,2.7%,0.66,0.012,0.53,Technology,Computer Communications Equipment,21.3%,-71.5%,6.2%,49.3%
PFMT,Performant Financial Corporation,8.95,N/A,N/A,N/A,N/A,N/A,N/A,-3.93,Consumer Services,Other Consumer Services,93.2%,N/A,N/A,N/A
PERF,"Perfumania Holdings, Inc",4.81,69.0%,0.48,7.9,12.7%,9.97,2.434,-14.37,Consumer Services,Other Specialty Stores,56.8%,-34.8%,220.0%,34.0%
PSEM,Pericom Semiconductor Corporation,8.02,23.3%,0.61,5.1,19.7%,13.25,1.061,2.64,Technology,Semiconductors,19.2%,25.3%,4.5%,44.0%
PESI,"Perma-Fix Environmental Services, Inc.",0.80,2.6%,N/A,52.7,1.9%,-0.67,0.035,-1.02,Basic Industries,Environmental Services,17.4%,2.9%,-0.8%,-9.3%
PRGO,Perrigo Company,104.20,43.2%,3.00,23.5,4.3%,34.74,5.145,-16.71,Consumer Durables,Major Pharmaceuticals,52.9%,44.6%,42.1%,33.0%
PERY,Perry Ellis International Inc.,21.40,14.5%,N/A,30.7,3.3%,-7.07,1.374,-20.81,Consumer Non-Durables,Apparel,-0.5%,14.5%,60.8%,-16.8%
PVSW,Pervasive Software Inc.,8.92,96.8%,1.52,17.4,5.7%,5.85,0.415,1.70,Technology,Computer Software: Prepackaged Software,79.4%,99.4%,103.0%,105.2%
PETS,"PetMed Express, Inc.",11.29,467.8%,0.48,4.3,23.5%,23.34,2.098,2.36,Health Care,Medical/Nursing Services,344.4%,487.1%,475.9%,563.7%
PETM,"PetSmart, Inc",69.25,18.0%,2.02,18.1,5.5%,34.25,4.315,-8.90,Consumer Services,Other Specialty Stores,19.9%,15.5%,20.0%,16.3%
PFSW,"PFSweb, Inc.",2.67,-0.1%,N/A,N/A,N/A,-7.09,-0.006,-7.03,Miscellaneous,Business Services,-10.8%,-3.4%,5.2%,8.5%
PGTI,"PGT, Inc.",4.39,-9.4%,N/A,N/A,N/A,-3.39,-0.199,-1.40,Capital Goods,Building Products,-13.5%,0.5%,-6.6%,-18.0%
PCYC,"Pharmacyclics, Inc.",61.05,75.8%,20.23,442.3,0.2%,3.02,0.134,1.68,Consumer Durables,Major Pharmaceuticals,834.1%,-251.1%,-186.4%,-93.4%
ANTP,PHAZAR CORP,1.86,-20.4%,N/A,N/A,N/A,-5.63,-0.556,-0.08,Technology,Radio And Television Broadcasting And Communications Equipment,-11.5%,-0.4%,-30.4%,-39.5%
PHIIK,"PHI, Inc.",31.27,-1.8%,N/A,N/A,N/A,-36.01,-1.108,-24.93,Transportation,Transportation Services,-6.0%,1.0%,-1.2%,-1.1%
PHMD,"PhotoMedex, Inc.",14.52,N/A,N/A,N/A,N/A,N/A,N/A,-0.79,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,295.2%,N/A,N/A,N/A
PLAB,"Photronics, Inc.",5.48,-0.4%,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Semiconductors,0.9%,2.2%,-0.9%,-3.8%
PICO,PICO Holdings Inc.,19.25,N/A,N/A,N/A,N/A,N/A,N/A,-2.15,Finance,Real Estate,N/A,N/A,N/A,N/A
PXLW,"Pixelworks, Inc.",2.19,6.1%,4.19,33.4,3.0%,0.52,0.071,-0.19,Technology,Semiconductors,-12.9%,-35.8%,-4.5%,77.4%
PZZI,"Pizza Inn Holdings, Inc.",3.40,42.0%,1.02,10.1,9.9%,3.34,0.404,-0.70,Consumer Non-Durables,Food Distributors,20.4%,35.2%,47.3%,65.2%
PLNR,"Planar Systems, Inc.",1.36,-14.4%,N/A,N/A,N/A,N/A,N/A,-0.84,Capital Goods,Industrial Machinery/Components,-24.9%,-5.7%,0.3%,-27.5%
PLXS,Plexus Corp.,23.46,17.7%,1.40,12.3,8.2%,16.70,2.986,-13.16,Technology,Electrical Products,23.1%,23.3%,-9.3%,33.8%
PLUG,"Plug Power, Inc.",0.63,-104.5%,N/A,N/A,N/A,-9.74,-0.940,-0.33,Energy,Industrial Machinery/Components,-104.9%,-113.1%,-82.1%,-118.1%
PSTI,"Pluristem Therapeutics, Inc.",3.83,-263.4%,N/A,N/A,N/A,-2.40,-0.289,0.49,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-120.0%,-274.6%,-344.0%,-315.1%
PLXT,"PLX Technology, Inc.",4.55,-17.3%,N/A,N/A,N/A,-0.99,-0.095,-0.04,Technology,Semiconductors,-20.1%,-10.3%,-45.8%,6.8%
PMCS,"PMC - Sierra, Inc.",5.41,47.3%,1.10,11.0,9.1%,4.90,0.494,-0.04,Technology,Semiconductors,58.2%,87.6%,49.0%,-5.8%
PMFG,"PMFG, Inc.",7.20,44.5%,1.52,15.6,6.4%,4.74,0.437,0.37,Capital Goods,Industrial Machinery/Components,58.7%,-19.7%,46.7%,92.3%
PTSX,Point.360,0.59,-6.7%,N/A,N/A,N/A,-5.79,-0.441,-1.38,Consumer Services,Movies/Entertainment,-0.7%,-9.3%,-10.5%,-6.4%
PCOM,"Points International, Ltd.",11.44,N/A,N/A,N/A,N/A,N/A,N/A,-0.58,Miscellaneous,Business Services,N/A,258.8%,92.1%,N/A
PTEK,"PokerTek, Inc.",0.80,-38.1%,N/A,N/A,N/A,-3.40,-0.322,-0.18,Consumer Durables,Miscellaneous manufacturing industries,-19.4%,-14.2%,-32.4%,-86.3%
PLCM,"Polycom, Inc.",10.45,79.6%,0.59,5.8,17.3%,17.84,1.750,0.34,Public Utilities,Telecommunications Equipment,87.8%,52.6%,80.1%,98.0%
POOL,Pool Corporation,40.10,160.6%,1.66,14.6,6.9%,24.09,3.483,-10.74,Consumer Durables,Industrial Specialties,129.7%,152.1%,181.8%,178.9%
POPE,Pope Resources,54.78,-6.2%,N/A,N/A,N/A,-54.01,-4.254,-11.47,Consumer Non-Durables,Environmental Services,-2.7%,-6.4%,-9.7%,-6.3%
PRAA,"Portfolio Recovery Associates, Inc.",98.30,N/A,N/A,N/A,N/A,N/A,N/A,-25.97,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
PSTR,PostRock Energy Corporation,1.47,0.1%,N/A,527.1,0.2%,-15.68,0.033,-16.02,Energy,Oil & Gas Production,-0.0%,-0.5%,1.0%,0.0%
PCH,Potlatch Corporation,38.12,N/A,N/A,N/A,N/A,N/A,N/A,-13.21,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
POWL,"Powell Industries, Inc.",39.71,47.8%,0.67,6.9,14.4%,59.09,6.313,-4.04,Consumer Durables,Electrical Products,-0.3%,7.5%,61.7%,122.3%
POWI,"Power Integrations, Inc.",32.92,35.2%,1.26,13.0,7.7%,26.23,2.230,3.93,Technology,Semiconductors,37.8%,41.9%,32.0%,29.1%
PWER,"Power-One, Inc.",4.20,72.6%,0.46,5.2,19.1%,9.03,1.014,-1.11,Capital Goods,Industrial Machinery/Components,62.3%,218.7%,35.3%,-26.0%
POWR,"PowerSecure International, Inc",6.82,10.9%,2.90,26.9,3.7%,2.35,0.265,-0.30,Miscellaneous,Business Services,-17.6%,-32.0%,-8.7%,101.8%
PWAV,"Powerwave Technologies, Inc.",0.28,-7.3%,N/A,N/A,N/A,-13.81,-0.422,-9.59,Technology,Radio And Television Broadcasting And Communications Equipment,-27.9%,-2.5%,1.5%,-0.2%
POZN,"Pozen, Inc.",5.23,1442.0%,0.68,4.2,23.7%,7.71,0.429,3.42,Consumer Durables,Major Pharmaceuticals,7333.2%,2381.8%,-2052.9%,-1894.1%
PRAN,Prana Biotechnology Ltd,2.27,-1346.1%,N/A,N/A,N/A,-3.15,-0.339,0.23,Consumer Durables,Major Pharmaceuticals,-2304.9%,-1185.0%,-800.1%,-1094.5%
PLPC,Preformed Line Products Company,60.97,9.5%,3.06,21.6,4.6%,19.91,3.541,-15.50,Basic Industries,Water Supply,7.2%,11.3%,14.5%,4.8%
PRXI,"Premier Exhibitions, Inc.",2.79,-21.2%,N/A,N/A,N/A,-1.38,-0.121,-0.16,Consumer Services,Services-Misc. Amusement & Recreation,-12.0%,-20.0%,-23.9%,-29.1%
PRGX,"PRGX Global, Inc.",6.34,35.7%,1.20,11.5,8.7%,5.30,0.714,-1.85,Consumer Services,Diversified Commercial Services,37.8%,5.5%,60.6%,39.1%
PCLN,priceline.com Incorporated,613.54,754.2%,2.08,21.9,4.6%,295.57,26.765,27.92,Miscellaneous,Business Services,1220.4%,911.7%,425.9%,458.9%
PSMT,"PriceSmart, Inc.",74.67,20.2%,3.71,29.8,3.4%,20.15,2.757,-7.42,Consumer Services,Department/Specialty Retail Stores,22.4%,19.1%,24.0%,15.2%
PBMD,Prima BioMed Ltd,3.63,-9430.8%,N/A,N/A,N/A,-0.55,-0.058,0.03,Consumer Durables,Major Pharmaceuticals,-12757.3%,-9301.4%,-14057.8%,-1606.6%
PACQ,Prime Acquisition Corp.,9.92,N/A,N/A,N/A,N/A,N/A,N/A,1.05,Finance,Business Services,N/A,N/A,N/A,N/A
PNRG,PrimeEnergy Corporation,26.30,2.1%,N/A,19.7,5.1%,-14.21,4.188,-56.09,Energy,Oil & Gas Production,-1.0%,3.7%,-5.2%,10.9%
PRMW,Primo Water Corporation,1.25,N/A,N/A,N/A,N/A,N/A,N/A,-1.43,Consumer Non-Durables,Food Distributors,-29.8%,-41.3%,-18.4%,N/A
PRIM,Primoris Services Corporation,14.47,77.7%,0.54,6.2,16.2%,26.83,3.226,-5.42,Basic Industries,Water Supply,32.6%,73.5%,67.9%,136.9%
