Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
GS,"Goldman Sachs Group, Inc. (The)",149.9,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Bankers/Brokers/Service,939.0,923.225,0.074,41.664,28.811,1.602,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSF,"Goldman Sachs Group, Inc. (The)",26.4,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Bankers/Brokers/Service,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSJ,"Goldman Sachs Group, Inc. (The)",27.59,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Investment Bankers/Brokers/Service,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TFG,"Goldman Sachs Group, Inc. (The)",26.446,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Finance: Consumer Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GDP,Goodrich Petroleum Corporation,10.05,False,False,False,True,True,0.013,-0.057,N/A,59.0,0.017,-17.02,0.552,-22.54,Energy,Oil & Gas Production,0.862103,0.862103,0.000,0.201069,0.201069,0.000,0.823,0.933,5.974,0.011,-0.025,-0.057,0.123
GOV,Government Properties Income Trust,24.96,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.64,Finance,Real Estate,1.368575,1.368575,0.000,0.17895,0.17895,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IRE,Governor and Company of the Bank of Ireland (The),8.75,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Commercial Banks,154.88,201.059,1.133,None,8.439,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GGG,Graco Inc.,57.59,False,False,False,False,True,0.483,0.339,N/A,N/A,N/A,N/A,3.099,N/A,Capital Goods,Fluid Controls,1.321734,0.874309,1.795,1.012456,0.895283,0.534,0.190,0.116,0.272,0.620,0.565,0.339,0.409
GKK,Gramercy Capital Corp,3.71,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-47.38,Consumer Services,Real Estate Investment Trusts,2.25833,2.25833,0.000,0.21121,0.21121,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GVA,Granite Construction Incorporated,36.33,False,False,False,True,True,0.011,-0.112,N/A,142.7,0.007,-6.89,0.326,-10.15,Basic Industries,Military/Government/Technical,1.547799,1.547799,0.000,2.009531,2.009531,0.000,-0.011,0.166,11.098,-0.004,-0.112,-0.017,0.175
GPK,Graphic Packaging Holding Company,7.1,False,False,False,True,True,-0.009,-0.057,N/A,N/A,N/A,-10.24,-0.097,-9.28,Consumer Durables,Containers/Packaging,4.6497,4.6497,0.000,4.2063,4.2063,0.000,0.331,0.459,5.050,-0.057,-0.000,0.046,-0.023
GTN,"Gray Television, Inc.",3.91,False,False,False,True,True,-0.058,-0.207,N/A,N/A,N/A,-23.07,-0.387,-19.20,Consumer Services,Broadcasting,1.23398,1.23398,0.000,0.307131,0.307131,0.000,0.106,0.102,1.933,0.014,0.041,-0.079,-0.207
GTN.A,"Gray Television, Inc.",3.37,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Broadcasting,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GNI,Great Northern Iron Ore Properties,75.94,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.16,Basic Industries,Precious Metals,0.020914,0.020915,0.000,0.024156,0.026739,0.441,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GXP,Great Plains Energy Inc,21.53,False,False,False,True,True,-0.043,-0.063,N/A,N/A,N/A,-72.01,-3.194,-40.07,Public Utilities,Electric Utilities: Central,9.118,9.118,0.000,2.318,2.318,0.000,0.670,0.892,0.445,-0.052,-0.038,-0.063,-0.019
GXP^A,Great Plains Energy Inc,91.0,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Electric Utilities: Central,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GXP^D,Great Plains Energy Inc,94.95,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Electric Utilities: Central,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GXP^E,Great Plains Energy Inc,95.5,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Electric Utilities: Central,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GB,"Greatbatch, Inc.",26.75,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-15.93,Energy,Industrial Machinery/Components,0.881347,0.881347,0.000,0.645,0.568822,0.546,N/A,N/A,N/A,N/A,0.238,0.236,N/A
GBX,"Greenbrier Companies, Inc. (The)",20.0,False,False,False,True,True,-0.011,-0.144,N/A,N/A,N/A,-35.33,-0.329,-32.03,Capital Goods,Railroads,1.384544,1.384544,0.000,1.812331,1.807716,0.011,0.251,0.276,9.848,0.085,-0.144,-0.039,0.056
GHL,Greenhill,58.89,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.46,Finance,Investment Bankers/Brokers/Service,0.460743,0.460743,0.000,0.285079,0.291953,0.103,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GWAY,"Greenway Medical Technologies, Inc.",15.59,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,Technology,EDP Services,0.133123,0.133123,0.000,0.124013,0.124013,0.000,N/A,N/A,N/A,0.647,-2.770,1.059,N/A
GEF,Greif Bros. Corporation,47.99,False,False,False,True,True,0.055,0.013,N/A,35.0,0.029,-23.11,2.841,-51.51,Consumer Durables,Containers/Packaging,3.8569,3.8569,0.000,4.2695,4.2695,0.000,0.329,0.153,0.973,0.126,0.013,0.014,0.069
GFF,Griffon Corporation,11.8,False,False,False,True,True,0.024,-0.057,N/A,87.7,0.011,-12.30,0.310,-15.39,Capital Goods,Building Products,1.806192,1.806192,0.000,1.861145,1.861145,0.000,0.444,0.197,2.318,0.030,-0.057,0.057,0.067
GPI,"Group 1 Automotive, Inc.",68.01,False,False,False,True,True,0.205,-0.165,N/A,21.6,0.046,-7.72,6.509,-72.81,Consumer Durables,Automotive Aftermarket,2.476343,2.476343,0.000,6.079765,6.079765,0.000,0.334,0.437,1.369,0.299,-0.165,0.503,0.180
GMK,"GRUMA, S.A. de C.V.",13.36,True,True,False,True,True,-0.009,-0.032,N/A,N/A,N/A,-204.64,-2.434,-180.30,Consumer Non-Durables,Packaged Foods,44.542618,3.191795,11.447,57.644749,4.130656,11.447,0.317,0.559,3.771,-0.023,-0.021,0.040,-0.032
BSMX,Grupo Financiero Santander Mexico S.A. B. de C.V.,15.88,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Commercial Banks,744.665,None,N/A,63.997,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSE,"GSE Holding, Inc.",6.87,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Specialty Chemicals,None,0.292426,N/A,None,0.464451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GSH,Guangshen Railway Company Limited,21.81,True,True,False,True,True,0.004,-0.022,N/A,28.4,0.035,-2.30,1.309,-15.39,Transportation,Railroads,39.777005,5.117151,8.906,17.208355,2.334102,8.676,0.445,0.255,4.600,0.021,0.017,0.001,-0.022
GWRE,"Guidewire Software, Inc.",34.34,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.97,Technology,Computer Software: Prepackaged Software,0.284247,0.284247,0.000,0.232061,0.232061,0.000,N/A,N/A,N/A,2.287,-0.042,2.153,N/A
GUA,Gulf Power Company,27.44,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Electric Utilities: Central,None,None,N/A,None,1.519812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GUL,Gulf Power Company,26.46,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Public Utilities,Electric Utilities: Central,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GLF,"GulfMark Offshore, Inc.",36.67,False,False,False,True,True,0.018,-0.045,N/A,50.2,0.020,-3.81,1.008,-13.89,Energy,Metal Fabrications,1.499799,1.499799,0.000,0.38187,0.38187,0.000,0.478,0.642,4.248,-0.031,-0.045,0.025,0.123
FUL,H. B. Fuller Company,39.91,False,False,False,True,True,0.050,0.022,N/A,61.6,0.016,-6.99,0.909,-16.08,Basic Industries,Home Furnishings,1.78632,1.78632,0.000,1.886239,1.886239,0.000,0.189,0.175,0.452,0.066,0.070,0.022,0.042
HNZ^,H.J. Heinz Company,808.52,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Packaged Foods,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK,Halcon Resources Corporation,7.87,False,False,False,True,True,-0.076,-0.136,N/A,N/A,N/A,-2.23,-0.151,-0.71,Energy,Oil & Gas Production,0.267802,0.267802,0.000,0.103521,0.103521,0.000,0.190,0.266,0.552,-0.048,-0.045,-0.077,-0.136
HAL,Halliburton Company,41.08,False,False,True,False,True,0.226,0.179,N/A,N/A,N/A,N/A,2.493,N/A,Energy,Oilfield Services/Equipment,27.41,23.677,0.636,28.503,24.829,0.599,0.101,1.280,0.223,0.214,0.297,0.179,0.213
HBI,Hanesbrands Inc.,37.74,True,False,False,True,True,0.071,0.008,N/A,69.9,0.014,-23.65,1.025,-33.91,Consumer Services,Clothing/Shoe/Accessory Stores,4.034669,None,N/A,4.637143,4.637143,0.000,-0.073,0.105,1.058,0.055,0.008,0.180,0.041
HRG,Harbinger Group Inc,8.26,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-153.28,Energy,Industrial Machinery/Components,25.200491,25.200491,0.000,4.48119,4.480716,0.000,N/A,N/A,N/A,-0.401,1088.991,-350.814,N/A
HOG,"Harley-Davidson, Inc.",52.76,False,False,True,False,True,0.271,0.106,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Motor Vehicles,9.170773,9.674164,0.232,5.580506,5.311713,0.214,N/A,N/A,0.408,0.334,0.308,0.337,0.106
HAR,"Harman International Industries, Incorporated",45.29,False,False,False,True,True,0.057,-0.113,N/A,52.7,0.019,-1.19,1.089,-12.08,Consumer Non-Durables,Consumer Electronics/Appliances,3.169464,3.169464,0.000,4.364078,4.364078,0.000,-0.127,0.549,2.302,0.046,0.203,0.093,-0.113
HMY,Harmony Gold Mining Company Limited,6.56,True,True,False,True,True,-0.037,-0.053,N/A,N/A,N/A,-55.22,-3.756,-17.66,Basic Industries,Precious Metals,43.2,5.263,9.143,15.169,1.953,8.903,0.219,0.358,0.550,-0.011,-0.053,-0.053,-0.030
HWD,Harry Winston Diamond Corporation,14.73,False,False,True,True,True,0.000,-0.081,N/A,23890.4,0.000,-8.99,0.001,-9.00,Basic Industries,Precious Metals,1.635584,1.630936,0.012,0.695725,0.702043,0.039,0.352,1.507,1417.558,-0.028,-0.014,-0.081,0.123
HSC,Harsco Corporation,25.75,False,False,False,True,True,0.041,0.004,N/A,30.1,0.033,-7.99,1.680,-24.79,Capital Goods,Metal Fabrications,3.338877,3.338877,0.000,3.30274,3.30274,0.000,-0.007,0.232,1.053,0.004,0.018,0.042,0.102
HHS,"Harte-Hanks, Inc.",7.93,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Advertising,None,0.932514,N/A,0.767709,0.850765,0.446,N/A,N/A,N/A,N/A,0.177,0.297,0.321
HGH,"Hartford Financial Services Group, Inc. (The)",29.05,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,None,304.064,N/A,None,21.859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIG,"Hartford Financial Services Group, Inc. (The)",25.21,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,308.511,None,N/A,22.033,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIG^A,"Hartford Financial Services Group, Inc. (The)",23.085,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTS,Hatteras Financial Corp,27.19,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-161.14,Consumer Services,Real Estate Investment Trusts,18.586719,18.586719,0.000,0.446696,0.446696,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HVT,"Haverty Furniture Companies, Inc.",18.13,False,False,False,True,True,-0.023,-0.079,N/A,N/A,N/A,-7.10,-0.411,-2.99,Consumer Services,Other Specialty Stores,0.3851,0.3851,0.000,0.620903,0.621363,0.003,0.050,0.065,1.908,-0.079,-0.035,-0.002,0.023
HVT.A,"Haverty Furniture Companies, Inc.",17.76,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Other Specialty Stores,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HE,"Hawaiian Electric Industries, Inc.",27.13,False,False,False,True,True,-0.030,-0.037,N/A,N/A,N/A,-96.86,-1.641,-80.45,Public Utilities,Electric Utilities: Central,9.646199,9.592731,0.024,3.242335,3.242335,0.000,0.197,0.058,0.262,-0.037,-0.019,-0.031,-0.032
HCA,"HCA Holdings, Inc.",38.22,True,False,False,True,True,0.042,-0.009,N/A,43.1,0.023,-49.28,2.645,-75.72,Health Care,Hospital/Nursing Management,26.898,None,N/A,32.506,29.682,0.395,0.237,0.107,0.897,0.081,0.052,0.042,-0.009
HCC,"HCC Insurance Holdings, Inc.",38.9,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,9.625253,9.625253,0.000,2.378684,2.374005,0.009,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HCP,"HCP, Inc.",46.69,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-18.56,Consumer Services,Real Estate Investment Trusts,17.408475,17.408475,0.000,1.725386,1.725386,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDB,HDFC Bank Limited,40.72,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Commercial Banks,3411.165016,70.0983,16.872,None,6.4802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HW,Headwaters Incorporated,9.26,False,False,False,True,True,-0.097,-0.216,N/A,N/A,N/A,-13.28,-0.463,-8.65,Capital Goods,Building Materials,0.680937,0.680937,0.000,0.632787,0.632787,0.000,-0.232,0.703,1.225,0.044,-0.216,-0.044,-0.173
HCN,"Health Care REIT, Inc.",62.44,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-32.31,Consumer Services,Real Estate Investment Trusts,14.924606,14.924606,0.000,1.421162,1.421162,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HMA,"Health Management Associates, Inc.",10.48,False,False,False,True,True,0.039,0.025,N/A,39.4,0.025,-8.91,0.660,-15.51,Health Care,Hospital/Nursing Management,4.910085,6.004189,0.874,5.114997,5.804451,0.549,0.191,0.151,0.320,0.025,0.036,0.040,0.056
HNT,Health Net Inc.,28.05,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Care,Medical Specialities,3.917481,3.607669,0.358,11.278108,11.901036,0.233,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HR,Healthcare Realty Trust Incorporated,25.7,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-17.33,Consumer Services,Real Estate Investment Trusts,2.521022,2.521022,0.000,0.296898,0.296649,0.004,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTA,"Healthcare Trust of America, Inc.",10.79,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.96,Consumer Services,Real Estate Investment Trusts,2.291629,2.291629,0.000,0.274438,0.274438,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HLS,HealthSouth Corporation,23.24,False,False,False,True,True,-0.003,-0.395,N/A,N/A,N/A,-21.24,-0.044,-20.79,Health Care,Hospital/Nursing Management,2.2712,2.2712,0.000,2.0269,2.0269,0.000,-0.030,0.251,87.539,0.164,-0.395,0.205,0.013
HEK,Heckmann Corporation,4.04,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.11,Energy,Oilfield Services/Equipment,0.601347,0.539681,0.470,0.156837,0.156837,0.000,N/A,N/A,N/A,-0.260,-0.226,-0.475,N/A
HL,Hecla Mining Company,5.41,False,False,True,True,True,-0.015,-0.055,N/A,N/A,N/A,-0.67,-0.068,0.01,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),1.39609,1.39609,0.000,0.477634,0.477634,0.000,1.264,1.970,2.485,0.029,-0.033,-0.001,-0.055
HL^B,Hecla Mining Company,61.01,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEI.A,Heico Corporation,35.07,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Aerospace,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HLX,"Helix Energy Solutions Group, Inc.",24.07,False,False,False,True,True,0.008,-0.033,N/A,111.6,0.009,-11.55,0.351,-15.06,Energy,Oilfield Services/Equipment,3.582347,3.582347,0.000,1.420266,1.398607,0.067,0.077,0.433,3.496,0.030,-0.033,0.008,0.029
HT,Hersha Hospitality Trust,5.41,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.25,Consumer Services,Real Estate Investment Trusts,1.630909,1.630909,0.000,0.286444,0.286444,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HSY,Hershey Company (The),80.14,False,False,True,False,True,0.218,0.120,N/A,N/A,N/A,N/A,1.636,N/A,Consumer Non-Durables,Specialty Foods,4.754839,4.412199,0.325,6.644252,6.080788,0.385,-0.781,1.704,0.430,0.161,0.272,0.321,0.120
HTZ,"Hertz Global Holdings, Inc",18.69,False,False,False,True,True,0.060,0.041,N/A,27.4,0.036,-17.63,2.083,-38.46,Consumer Services,Rental/Leasing Companies,19.669727,17.673527,0.465,8.29838,8.29838,0.000,0.102,0.382,0.350,0.079,0.076,0.041,0.042
HES,Hess Corporation,68.21,False,False,False,True,True,0.069,0.037,N/A,N/A,N/A,N/A,5.913,N/A,Energy,Integrated oil Companies,43.594,39.136,0.469,37.691,38.466,0.088,0.065,0.957,0.364,0.088,0.062,0.091,0.037
HXL,Hexcel Corporation,26.88,False,False,False,True,True,0.098,0.043,N/A,N/A,N/A,N/A,1.439,N/A,Basic Industries,Major Chemicals,1.6031,1.3761,0.663,1.5782,1.3924,0.544,0.441,0.306,0.447,0.151,0.099,0.043,0.100
HF,"HFF, Inc.",17.81,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.56,Consumer Services,Real Estate,0.478451,0.478451,0.000,0.254679,0.254679,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HCLP,Hi-Crush Partners LP,17.65,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONE,"Higher One Holdings, Inc.",10.86,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,Miscellaneous,Business Services,0.176015,0.176015,0.000,0.17632,0.17632,0.000,N/A,N/A,N/A,4.151,N/A,N/A,N/A
HIW,"Highwoods Properties, Inc.",35.89,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-26.42,Consumer Services,Real Estate Investment Trusts,3.180992,3.180992,0.000,0.485582,0.482852,0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIL,"Hill International, Inc.",3.47,False,False,False,True,True,-0.299,-0.712,N/A,N/A,N/A,-8.38,-0.279,-5.58,Consumer Services,Military/Government/Technical,0.407512,0.407512,0.000,0.501456,0.501456,0.000,1.147,0.737,2.455,-0.691,-0.712,0.799,-0.592
HSH,Hillshire Brands Company (The),31.55,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Packaged Foods,None,2.45,N/A,None,4.094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTH,Hilltop Holdings Inc.,13.46,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,0.944439,0.925425,0.088,0.152188,0.152188,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HME,"Home Properties, Inc.",60.9,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-52.73,Consumer Services,Real Estate Investment Trusts,4.153206,None,N/A,0.579973,0.579973,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HCI,"Homeowners Choice, Inc.",22.55,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,0.22081,0.214818,0.119,0.093903,0.094839,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HMC,"Honda Motor Company, Ltd.",38.62,True,True,False,True,True,0.059,-0.021,N/A,14.2,0.070,-962.15,236.783,-3329.98,Capital Goods,Auto Manufacturing,11780.759,143.153,19.154,7948.095,96.581,19.154,0.164,0.167,1.251,0.025,0.081,0.150,-0.021
HON,Honeywell International Inc.,69.15,False,False,True,False,True,0.221,0.135,N/A,N/A,N/A,N/A,1.412,N/A,Capital Goods,Auto Parts:O.E.M.,41.853,39.808,0.218,37.665,36.529,0.133,-1.069,2.210,0.272,0.225,0.135,0.271,0.254
HMN,Horace Mann Educators Corporation,22.0,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,7.435169,7.483737,0.028,0.981507,0.9983,0.074,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOS,Hornbeck Offshore Services,38.62,False,False,False,True,True,0.028,-0.066,N/A,39.8,0.025,-5.22,1.473,-19.95,Consumer Services,Marine Transportation,2.136346,2.136346,0.000,0.381627,0.381627,0.000,0.616,0.708,3.398,-0.066,-0.015,0.037,0.154
HPT,Hospitality Properites Trust,25.58,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-21.67,Consumer Services,Real Estate Investment Trusts,5.133573,5.133573,0.000,1.210333,1.210333,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HST,Host Marriott Financial Trust,16.69,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-7.36,Consumer Services,Real Estate Investment Trusts,13.068,13.068,0.000,5.005,4.998,0.006,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOV,Hovnanian Enterprises Inc,5.61,False,False,False,True,True,-1.137,-1.911,N/A,N/A,N/A,-27.22,-1.137,-15.84,Capital Goods,Homebuilding,1.68425,1.68425,0.000,1.48486,1.485353,0.001,-0.297,0.224,0.774,-0.893,-1.668,-1.978,-0.008
HOVU,Hovnanian Enterprises Inc,28.52,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Homebuilding,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HHC,Howard Hughes Corporation (The),72.37,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-21.22,Consumer Services,Real Estate Investment Trusts,3.395149,3.395149,0.000,0.285567,0.275691,0.153,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HBC,HSBC Holdings plc,56.83,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,1644.410973,2555.579,1.915,None,105.804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HBC^,HSBC Holdings plc,25.88,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Real Estate Investment Trusts,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HCS,HSBC Holdings plc,25.55,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HBA^D,"HSBC USA, Inc.",25.72,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HBA^F,"HSBC USA, Inc.",22.48,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HNP,Huaneng Power Intl,40.65,True,True,False,True,True,-0.053,-0.095,N/A,N/A,N/A,-1171.20,-51.011,-661.10,Public Utilities,Electric Utilities: Central,317.64317,40.898614,8.902,160.090369,21.198088,8.781,0.954,0.339,0.539,-0.040,-0.038,-0.038,-0.095
HUB.A,Hubbell Inc A,84.344,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Electrical Products,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUB.B,Hubbell Inc A,92.02,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Electrical Products,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HPP,"Hudson Pacific Properties, Inc.",22.11,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-11.19,Finance,Real Estate,1.152791,1.152791,0.000,0.142262,0.142189,0.002,N/A,N/A,N/A,N/A,N/A,N/A,N/A
